Cluster ID,confidence_score,﻿Id,id_2,Source,Account_Name,Billing,Industry,canonical_Id,canonical_id_2,canonical_Source,canonical_Account_Name,canonical_Billing,canonical_Industry
891,,69,70 LW, LW,Cummins Inc.,Indiana,Industrials,,,,,,
892,,70,71 LW, LW,D2L Corporation,Ontario,Technology,,,,,,
893,,71,72 LW, LW,"Daihatsu Motor Co., Ltd.",,Automotive,,,,,,
25,0.9862095415592194,72,73 LW, LW,DAR Al Handasah,,Construction,b'3628',b'3364_cv',b'_cv',b'dar al handasah',b'beirut',b'construction'
894,,73,74 LW, LW,Defense Information Enterprise Services Elements,District of Columbia,,,,,,,
895,,74,75 LW, LW,Department of Defense (DOD),Virginia,Government,,,,,,
896,,75,76 LW, LW,Depository Trust & Clearing Corporation,New York,Brokerage and Asset Management,,,,,,
897,,76,77 LW, LW,Desjardins Group,Quebec,Banking,,,,,,
898,,77,78 LW, LW,Dish Network,Colorado,Technology,,,,,,
26,8.837766e-07,78,79 LW, LW,Dogus Planet (N11),Istanbul,Internet,b'78',b'79 lw',b'lw',b'dogus planet (n11)',b'istanbul',b'internet'
899,,79,80 LW, LW,Dollar Days International,Arizona,Distributors,,,,,,
900,,80,81 LW, LW,Dynatrace LLC,Massachusetts,Computer Software,,,,,,
27,0.6508188247680664,81,82 LW, LW,Eagle Investment Systems LLC,Massachusetts,Financial Services,b'81',b'82 lw',b'lw',b'eagle investment systems llc',b'massachusetts',b'financial services'
901,,82,83 LW, LW,Enforme Interactive,Maryland,Internet Software & Services,,,,,,
28,0.00087921316,83,84 LW, LW,Enterprise Holdings Inc,Missouri,Retail,b'83',b'84 lw',b'lw',b'enterprise holdings inc',b'missouri',b'retail'
902,,84,85 LW, LW,Erdee Media Groep,,,,,,,,
29,0.94883513,85,86 LW, LW,Ericsson,Stockholm,Computer Communications Equipment,b'85',b'86 lw',b'lw',b'ericsson',b'stockholm',b'computer communications equipment'
30,0.61918074,86,87 LW, LW,Ernst & Young,New York,Business Services,b'86',b'87 lw',b'lw',b'ernst & young',b'new york',b'business services'
903,,87,88 LW, LW,Exxon Mobil,Texas,Energy & Utilities,,,,,,
904,,88,89 LW, LW,FDA CDRH,Maryland,Government,,,,,,
31,0.8593318462371826,89,90 LW, LW,Federal Aviation Administration,District of Columbia,Government,b'4756',b'4492_cv',b'_cv',b'federal aviation administration',b'district of columbia',b'other'
905,,90,91 LW, LW,Federal National Mortgage Association (Fannie Mae),Virginia,Financial Services,,,,,,
906,,91,92 LW, LW,FedEx Corporation,Tennessee,Services,,,,,,
907,,92,93 LW, LW,Ferguson Enterprises,Virginia,Retail,,,,,,
32,0.8273756802082062,93,94 LW, LW,Fidelity Investments,Massachusetts,Investment Services,b'4815',b'4551_cv',b'_cv',b'fidelity investments',b'massachusetts',b'banking & insurance'
908,,94,95 LW, LW,First American Financial Corporation,California,Financial,,,,,,
33,0.00025589077,95,96 LW, LW,Fitch Solutions,New York,,b'95',b'96 lw',b'lw',b'fitch solutions',b'new york',b'banking & insurance'
909,,96,97 LW, LW,Florida Blue,Florida,Healthcare & Pharmaceuticals,,,,,,
910,,97,98 LW, LW,Ford Motor Company,Michigan,Industrials,,,,,,
34,0.9829415,98,99 LW, LW,Fred Hutchinson Cancer Research Center,Washington,Research & Consulting Services,b'98',b'99 lw',b'lw',b'fred hutchinson cancer research center',b'washington',b'research & consulting services'
911,,99,100 LW, LW,GE Power,New York,Environmental Services & Equipment,,,,,,
912,,100,101 LW, LW,Geisinger Health System,Pennsylvania,Health Care,,,,,,
913,,101,102 LW, LW,"Genentech, Inc.",California,Healthcare & Pharmaceuticals,,,,,,
914,,102,103 LW, LW,General Electric Company,Connecticut,Manufacturing,,,,,,
915,,103,104 LW, LW,General Services Administration,District of Columbia,Government,,,,,,
916,,104,105 LW, LW,GIC Pte Ltd,Singapore,Financial Services,,,,,,
917,,105,106 LW, LW,Global Sources,,Publisher,,,,,,
918,,106,107 LW, LW,Harvard Business School,Massachusetts,Higher Education,,,,,,
919,,107,108 LW, LW,Hays PLC,,Business Services,,,,,,
920,,108,109 LW, LW,Health Care Service Corporation,Illinois,Healthcare & Pharmaceuticals,,,,,,
36,0.9893251,109,110 LW, LW,Hewlett Packard Enterprise,California,Technology,b'109',b'110 lw',b'lw',b'hewlett packard enterprise',b'california',b'technology'
921,,110,111 LW, LW,Highmark,Pennsylvania,Healthcare & Medical,,,,,,
922,,111,112 LW, LW,"Home Depot, Inc.",Georgia,Services,,,,,,
37,0.804693877696991,112,113 LW, LW,Howard Industries,Mississippi,Manufacturing,b'112',b'113 lw',b'lw',b'howard industries',b'mississippi',b'manufacturing'
38,6.6614266e-05,113,114 LW, LW,Igloo Software,Ontario,Internet Software & Services,b'113',b'114 lw',b'lw',b'igloo software',b'ontario',b'internet software & services'
39,0.975008487701416,114,115 LW, LW,Indiana University Health,Indiana,Healthcare & Pharmaceuticals,b'6444',b'6180_cv',b'_cv',b'indiana university health',b'in',b'healthcare & pharmaceuticals'
923,,115,116 LW, LW,Infoblox,California,Computer Services,,,,,,
924,,116,117 LW, LW,Infocamere,PD,Media,,,,,,
925,,117,118 LW, LW,Ingram Book Company,Tennessee,Other,,,,,,
926,,118,119 LW, LW,"Innovapost, Inc.",Ontario,,,,,,,
41,0.99127406,119,120 LW, LW,Intel Corporation,California,Technology,b'119',b'120 lw',b'lw',b'intel corporation',b'california',b'technology'
42,0.0019784889,120,121 LW, LW,Interactive Data Corporation,Massachusetts,Financial Services,b'120',b'121 lw',b'lw',b'interactive data corporation',b'massachusetts',b'financial services'
43,0.99792695,121,122 LW, LW,Intuit,California,Technology,b'121',b'122 lw',b'lw',b'intuit',b'california',b'technology'
927,,122,123 LW, LW,Invesco Ltd.,Georgia,Financial,,,,,,
928,,123,124 LW, LW,IQVIA Inc.,North Carolina,Business Services,,,,,,
929,,124,125 LW, LW,IronPlanet,California,Other,,,,,,
930,,125,126 LW, LW,Ithaka,New Jersey,Not For Profit,,,,,,
931,,126,127 LW, LW,ITV plc,,Media,,,,,,
932,,127,128 LW, LW,John Deere,Illinois,Industrials,,,,,,
44,1.6459066e-05,128,129 LW, LW,"Johnson Controls, Inc.",Wisconsin,Industrials,b'128',b'129 lw',b'lw',"b'johnson controls, inc.'",b'wisconsin',b'industrials'
933,,129,130 LW, LW,Joint Improvised-Threat Defeat Organization (JIDO),District of Columbia,,,,,,,
45,0.23284352,130,131 LW, LW,Jordan - Ministry of Information and Communications Technology,,Government,b'130',b'131 lw',b'lw',b'jordan - ministry of information and communications technology',b'amman',b'government'
934,,131,132 LW, LW,JSOC,North Carolina,Government,,,,,,
46,0.9395243,132,133 LW, LW,Keenan & Associates,California,Insurance Agents & Brokers,b'132',b'133 lw',b'lw',b'keenan & associates',b'california',b'insurance agents & brokers'
935,,133,134 LW, LW,Kellogg Co.,Michigan,Consumer Goods,,,,,,
936,,134,135 LW, LW,Konica Minolta Business Solutions USA Inc.,New Jersey,Electronics,,,,,,
937,,135,136 LW, LW,Lam Research,California,Technology,,,,,,
47,0.6032673,136,137 LW, LW,Lenovo Group Limited,North Carolina,Technology,b'136',b'137 lw',b'lw',b'lenovo group limited',b'north carolina',b'technology'
938,,137,138 LW, LW,Los Alamos National Laboratory,New Mexico,Research & Consulting Services,,,,,,
48,0.93306214,138,139 LW, LW,"Lowe's Companies, Inc.",North Carolina,Services,b'138',b'139 lw',b'lw',"b""lowe's companies, inc.""",b'north carolina',b'services'
49,0.9392374,139,140 LW, LW,LoyaltyOne,Ontario,Professional Services,b'139',b'140 lw',b'lw',b'loyaltyone',b'ontario',b'professional services'
939,,140,141 LW, LW,LPL Financial,Massachusetts,Financial Services,,,,,,
940,,141,142 LW, LW,Macmillan Education,New York,Publisher,,,,,,
941,,142,143 LW, LW,Macys.com,California,Services,,,,,,
50,0.6495289,143,144 LW, LW,MAHLE,,Automotive,b'143',b'144 lw',b'lw',b'mahle',b'sao paulo',b'automotive'
51,0.9879308,144,145 LW, LW,ManTech International Corp.,Virginia,"Technology,Services",b'144',b'145 lw',b'lw',b'mantech international corp.',b'virginia',"b'technology,services'"
942,,145,146 LW, LW,MAPFRE USA Corp.,Massachusetts,Business Services,,,,,,
943,,146,147 LW, LW,mataharimall.com,Daerah Khusus Ibukota Jakarta,Retailing,,,,,,
52,0.94623035,147,148 LW, LW,Menards,Wisconsin,Services,b'147',b'148 lw',b'lw',b'menards',b'wisconsin',b'services'
53,0.9886881,148,149 LW, LW,Mercy Health - Missouri,Missouri,Healthcare & Pharmaceuticals,b'148',b'149 lw',b'lw',b'mercy health - missouri',b'missouri',b'healthcare & pharmaceuticals'
944,,149,150 LW, LW,MetTel,New York,Telecommunications,,,,,,
945,,150,151 LW, LW,Microchip Technology,Arizona,Semiconductors,,,,,,
946,,151,152 LW, LW,Mintel Group Ltd.,EC4V 6RN,Business Services,,,,,,
947,,152,153 LW, LW,Molex,Illinois,Technology,,,,,,
54,0.0026126222,153,154 LW, LW,"Monster Worldwide, Inc.",New York,Business Services,b'153',b'154 lw',b'lw',"b'monster worldwide, inc.'",b'new york',b'business services'
948,,154,155 LW, LW,Moody's Corporation,New York,Financial Services,,,,,,
949,,155,156 LW, LW,Morgan Stanley,New York,Finance,,,,,,
55,0.8954744,156,157 LW, LW,Motion Industries,Alabama,Machinery,b'156',b'157 lw',b'lw',b'motion industries',b'alabama',b'machinery'
56,0.181316,157,158 LW, LW,"Motorola Solutions, Inc.",Illinois,Technology,b'157',b'158 lw',b'lw',"b'motorola solutions, inc.'",b'illinois',b'technology'
950,,158,159 LW, LW,MSR Customs Corp (eCustoms),New York,Internet Software & Services,,,,,,
951,,159,160 LW, LW,"MultiPlan, Inc.",New York,Health Insurance,,,,,,
57,0.0001498697,160,161 LW, LW,Mutual of Omaha Insurance Company,Nebraska,Financial,b'160',b'161 lw',b'lw',b'mutual of omaha insurance company',b'nebraska',b'financial'
58,0.9593181610107422,161,162 LW, LW,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,Maryland,Research & Consulting Services,b'161',b'162 lw',b'lw',b'national institute of standards and technology',b'maryland',b'research & consulting services'
952,,162,163 LW, LW,Naxos Global Distribution Limited Inc.,Hong Kong Island,Movies & Entertainment,,,,,,
953,,163,164 LW, LW,NCR Corporation,Georgia,Technology,,,,,,
954,,164,165 LW, LW,Netmail,Quebec,Technology,,,,,,
955,,165,166 LW, LW,New Pig,Pennsylvania,Office Supplies,,,,,,
59,0.834833,166,167 LW, LW,"Nike, Inc.",Oregon,Consumer Goods,b'166',b'167 lw',b'lw',"b'nike, inc.'",b'oregon',b'consumer goods'
956,,167,168 LW, LW,"Nordstrom, Inc.",Washington,Services,,,,,,
957,,168,169 LW, LW,Northrop Grumman Corporation,Virginia,"Industrials,Services",,,,,,
958,,169,170 LW, LW,Northwell Health,New York,Healthcare & Medical,,,,,,
959,,170,171 LW, LW,Novozymes A/S,,Biotech and Pharmaceuticals,,,,,,
960,,171,172 LW, LW,NRG Energy,Texas,Energy,,,,,,
961,,172,173 LW, LW,NTT East,,,,,,,,
60,0.66945964,173,174 LW, LW,Nuance Communications Inc.,Massachusetts,Computer Software,b'173',b'174 lw',b'lw',b'nuance communications inc.',b'massachusetts',b'computer software'
962,,174,175 LW, LW,NYU Langone Medical Center,New York,Healthcare & Medical,,,,,,
61,0.42846927,175,176 LW, LW,"Optum, Inc.",Minnesota,Healthcare & Medical,b'175',b'176 lw',b'lw',"b'optum, inc.'",b'minnesota',b'healthcare & medical'
963,,176,177 LW, LW,O'Reilly Auto Parts,Missouri,Services,,,,,,
62,2.7171625e-06,177,178 LW, LW,Parametric Technology Corporation,Massachusetts,Technology,b'177',b'178 lw',b'lw',b'parametric technology corporation',b'massachusetts',b'technology'
63,0.43327463,178,179 LW, LW,Parker Hannifin Corp.,Ohio,Industrials,b'178',b'179 lw',b'lw',b'parker hannifin corp.',b'ohio',b'industrials'
64,0.8747996,179,180 LW, LW,PennWell Corp,Oklahoma,Publishing,b'179',b'180 lw',b'lw',b'pennwell corp',b'oklahoma',b'publishing'
964,,180,181 LW, LW,Postfinanz,,Finance,,,,,,
65,0.39982656240463255,181,182 LW, LW,PriceWaterhouseCoopers LLP,New York,"Services,Financial",b'10015',b'9751_cv',b'_cv',b'pricewaterhousecoopers nz',b'nsw',b'consulting'
66,0.0077264374,182,183 LW, LW,Providence Health & Services,Washington,Healthcare & Pharmaceuticals,b'182',b'183 lw',b'lw',b'providence health & services',b'washington',b'healthcare & pharmaceuticals'
965,,183,184 LW, LW,Proximus PLC,,Telecommunications Services,,,,,,
966,,184,185 LW, LW,"Prudential Financial, Inc.",New Jersey,Brokerage and Asset Management,,,,,,
967,,185,186 LW, LW,PSP Investments,Quebec,Consulting,,,,,,
67,0.9965243935585022,186,187 LW, LW,Public Safety,Ontario,Government,b'186',b'187 lw',b'lw',b'public safety',b'ontario',b'government'
968,,187,188 LW, LW,"Putnam Investments, LLC",Massachusetts,Financial Services,,,,,,
969,,188,189 LW, LW,QAD Inc.,CA,Computer Software,,,,,,
970,,189,190 LW, LW,Qualcomm Incorporated,California,Technology,,,,,,
971,,190,191 LW, LW,Quest Diagnostics Incorporated,New Jersey,Healthcare & Pharmaceuticals,,,,,,
972,,191,192 LW, LW,RAI - Radiotelevisione Italiana S.p.A.,Roma,Media,,,,,,
973,,192,193 LW, LW,Raiffeisen Schweiz,St. Gallen,Banking & Mortgages,,,,,,
974,,193,194 LW, LW,RAND Corporation,California,Services (Business Services),,,,,,
68,0.0031891179,194,195 LW, LW,Raymond James Financial,Florida,Financial,b'194',b'195 lw',b'lw',b'raymond james financial',b'florida',b'financial'
69,0.8637975,195,196 LW, LW,Recreational Equipment Inc. (REI),Washington,Services,b'195',b'196 lw',b'lw',b'recreational equipment inc. (rei)',b'washington',b'services'
70,0.9973861,196,197 LW, LW,"Red Hat, Inc.",North Carolina,Technology,b'196',b'197 lw',b'lw',"b'red hat, inc.'",b'north carolina',b'technology'
975,,197,198 LW, LW,Reddit,California,Technology,,,,,,
976,,198,199 LW, LW,Reed Group,Colorado,Enterprise Resource Planning Software,,,,,,
71,0.012816599,199,200 LW, LW,Reed Specialist Recruitment Ltd,,Human Resource & Employment Services,b'199',b'200 lw',b'lw',b'reed specialist recruitment ltd',b'pa',b'human resource & employment services'
977,,200,201 LW, LW,"Regeneron Pharmaceuticals, Inc.",New York,Pharmaceutical,,,,,,
978,,201,202 LW, LW,"Replacements, Ltd",North Carolina,Retail,,,,,,
979,,202,203 LW, LW,REWE International AG,,Other,,,,,,
980,,203,204 LW, LW,Ringier Axel Springer,,Financial Services,,,,,,
72,0.005037083,204,205 LW, LW,Robins AFB,Georgia,Government,b'204',b'205 lw',b'lw',b'robins afb',b'georgia',b'government'
981,,205,206 LW, LW,"Rockwell Automation, Inc.",Wisconsin,"Technology,Industrials",,,,,,
982,,206,207 LW, LW,S&P Capital IQ,New York,Finance,,,,,,
983,,207,208 LW, LW,S&P Global Inc.,New York,Services,,,,,,
984,,208,209 LW, LW,Salesforce.com,California,Technology,,,,,,
985,,209,210 LW, LW,Sandia National Laboratories,New Mexico,"Industrials,Services",,,,,,
74,0.9904674887657166,210,211 LW, LW,SAS Institute,North Carolina,Technology,b'210',b'211 lw',b'lw',b'sas institute',b'north carolina',b'technology'
986,,211,212 LW, LW,Scentsy,Idaho,"Apparel, Accessories & Luxury Goods",,,,,,
987,,212,213 LW, LW,Scotiabank,Ontario,Banking,,,,,,
988,,213,214 LW, LW,SendGrid,Colorado,Computer Software,,,,,,
75,0.6463618576526642,214,215 LW, LW,Sensus,North Carolina,Energy & Utilities,b'11090',b'10826_cv',b'_cv',b'sensus',b'id',b'energy & utilities'
76,3.3486034e-05,215,216 LW, LW,"Sentara Healthcare, Inc.",Virginia,Healthcare,b'215',b'216 lw',b'lw',"b'sentara healthcare, inc.'",b'virginia',b'healthcare'
989,,216,217 LW, LW,"Shaw Industries, Inc.",Georgia,Consumer Goods,,,,,,
990,,217,218 LW, LW,"Shutterstock Images, LLC",New York,Miscellaneous General Retailers,,,,,,
991,,218,219 LW, LW,"Singapore Goverment, Ministry of Manpower",,,,,,,,
992,,219,220 LW, LW,"Singapore Government, Ministry of Communications and Information (MCI)",,Government,,,,,,
77,0.0030277353,220,221 LW, LW,Societe Generale,Ile-de-France,Financial Services,b'220',b'221 lw',b'lw',b'societe generale',b'ile-de-france',b'financial services'
78,0.005162427,221,222 LW, LW,Sony Network Entertainment,California,Technology,b'221',b'222 lw',b'lw',b'sony network entertainment',b'california',b'technology'
79,5.473896e-05,222,223 LW, LW,Southern Cross University,New South Wales,Education,b'222',b'223 lw',b'lw',b'southern cross university',b'new south wales',b'education'
80,0.0039361566,223,224 LW, LW,Spectrum Health,Michigan,Healthcare & Pharmaceuticals,b'223',b'224 lw',b'lw',b'spectrum health',b'michigan',b'healthcare & pharmaceuticals'
993,,224,225 LW, LW,"Staples, Inc.",Massachusetts,Retail,,,,,,
994,,225,226 LW, LW,StarTech.com,Ontario,Business Services,,,,,,
81,0.42416656,226,227 LW, LW,State Farm Mutual Insurance Co.,Illinois,Financial,b'226',b'227 lw',b'lw',b'state farm mutual insurance co.',b'illinois',b'financial'
82,3.112935e-06,227,228 LW, LW,State of Alaska,Alaska,State,b'227',b'228 lw',b'lw',b'state of alaska',b'alaska',b'state'
83,0.8411184,228,229 LW, LW,State of Missouri,Missouri,Organizations,b'228',b'229 lw',b'lw',b'state of missouri',b'missouri',b'organizations'
995,,229,230 LW, LW,State of Vatican,,,,,,,,
84,0.009886311,230,231 LW, LW,State Street Corp.,Massachusetts,Finance,b'230',b'231 lw',b'lw',b'state street corp.',b'massachusetts',b'finance'
996,,231,232 LW, LW,Statistics Canada,Ontario,Government,,,,,,
997,,232,233 LW, LW,"SuccessFactors, Inc.",California,Technology,,,,,,
998,,233,234 LW, LW,Symantec Corporation,California,Technology,,,,,,
999,,234,235 LW, LW,Synaptics Inc.,California,Technology,,,,,,
1000,,235,236 LW, LW,"Synopsys, Inc.",California,Technology,,,,,,
85,0.5946178436279297,236,237 LW, LW,Tata Consultancy Services Limited,MH,IT Services & Consulting,b'236',b'237 lw',b'lw',b'tata consultancy services limited',b'mh',b'it services & consulting'
1001,,237,238 LW, LW,Telecom Italia S.p.A.,,Telecommunications,,,,,,
1002,,238,239 LW, LW,Telefónica Argentina,,Integrated Telecommunication Services,,,,,,
1003,,239,240 LW, LW,Telefônica Vivo (Brazil),,Integrated Telecommunication Services,,,,,,
89,0.64913696,240,241 LW, LW,Texas Office of the Attorney General,Texas,,b'240',b'241 lw',b'lw',b'texas office of the attorney general',b'texas',b'government'
1004,,241,242 LW, LW,Thalia,North Rhine-Westphalia,Retailing,,,,,,
82,3.112935e-06,242,243 LW, LW,The Alaska State Legislature,Alaska,Government,b'227',b'228 lw',b'lw',b'state of alaska',b'alaska',b'state'
1005,,243,244 LW, LW,"ThinkTech, Inc.",Nebraska,Technology,,,,,,
1006,,244,245 LW, LW,TIAA-CREF,New York,Financial Services,,,,,,
90,8.1969345e-05,245,246 LW, LW,"T-Mobile USA, Inc.",Washington,Technology,b'245',b'246 lw',b'lw',"b't-mobile usa, inc.'",b'washington',b'technology'
1007,,246,247 LW, LW,"Toyota Motor North America, Inc. (TMNA)",Texas,Industrials,,,,,,
1008,,247,248 LW, LW,"Travelers Companies, Inc.",New York,Financial,,,,,,
91,0.868596076965332,248,249 LW, LW,U.S. Department of Housing and Urban Development,District of Columbia,,b'248',b'249 lw',b'lw',b'u.s. department of housing and urban development',b'district of columbia',b'government'
1009,,249,250 LW, LW,"Uber Technologies, Inc.",California,Transportation,,,,,,
1010,,250,251 LW, LW,University of Vienna,,Education,,,,,,
1011,,251,252 LW, LW,UpStart Commerce,NH,Internet Software & Services,,,,,,
1012,,252,253 LW, LW,US Department of Justice (DoJ),District of Columbia,Government,,,,,,
1013,,253,254 LW, LW,US EPA,North Carolina,,,,,,,
1014,,254,255 LW, LW,USG Corporation,Illinois,Industrials,,,,,,
1015,,255,256 LW, LW,Vegas.com,Nevada,Hospitality,,,,,,
1016,,256,257 LW, LW,Veritas Technologies LLC,California,Technology,,,,,,
92,0.5944263339042664,257,258 LW, LW,Verizon Communications,New York,Telecommunications,b'13588',b'13324_cv',b'_cv',b'verizon',b'ny',b'communications'
